"page_id","title","url","page_type","followers","likes"
"100066431662061","Tunlinoo | Facebook","https://www.facebook.com/people/Tunlinoo/100066431662061/","Page · Personal blog","18 followers","12 likes"
"100066431662061","Tunlinoo | Facebook","https://www.facebook.com/people/Tunlinoo/100066431662061/","Page · Personal blog","18 followers","12 likes"
"100070768456949","WYP Gaming | Facebook","https://www.facebook.com/people/WYP-Gaming/100070768456949/","Page · Personal blog","117 followers",
"100076726455041","ဗိုလ်ယက္ခ | Facebook","https://www.facebook.com/people/%E1%80%97%E1%80%AD%E1%80%AF%E1%80%9C%E1%80%BA%E1%80%9A%E1%80%80%E1%80%B9%E1%80%81/100076726455041/","Page · Personal blog","4K followers","3.9K likes"
"100065010202214","Yeni channel-ရေနီ | Facebook","https://www.facebook.com/people/Yeni-channel-%E1%80%9B%E1%80%B1%E1%80%94%E1%80%AE/100065010202214/","Page · Product/service","1.4K followers","1.3K likes"
"100069851791956","Hlwan Moesoe | Facebook","https://www.facebook.com/people/Hlwan-Moesoe/100069851791956/","Page · Local service","2 followers","2 likes"
"100066891676959","ေမာင္ေက်ာက္စိမ္း | Facebook","https://www.facebook.com/people/%E1%80%B1%E1%80%99%E1%80%AC%E1%80%84%E1%80%B9%E1%80%B1%E1%80%80%E1%80%BA%E1%80%AC%E1%80%80%E1%80%B9%E1%80%85%E1%80%AD%E1%80%99%E1%80%B9%E1%80%B8/100066891676959/","Page · Computer and Internet website","11K followers","11K likes"
"100081041646601","Kyaw Ye Aung Like Star Myanmar | Facebook","https://www.facebook.com/people/Kyaw-Ye-Aung-Like-Star-Myanmar/100081041646601/","Page · E-cigarette shop","83 followers","80 likes"
"100064521323357","သတင်းထူး သတင်းဦးများ | Facebook","https://www.facebook.com/people/%E1%80%9E%E1%80%90%E1%80%84%E1%80%BA%E1%80%B8%E1%80%91%E1%80%B0%E1%80%B8-%E1%80%9E%E1%80%90%E1%80%84%E1%80%BA%E1%80%B8%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%99%E1%80%BB%E1%80%AC%E1%80%B8/100064521323357/","Page · Writer","111K followers",
"100063698298275","Moe Kaung မိုဃၤးေကာင္း ကြန္ျပဴတာ ပန္းထိုးလုပ္ငန္း | Facebook","https://www.facebook.com/people/Moe-Kaung-%E1%80%99%E1%80%AD%E1%80%AF%E1%80%83%E1%81%A4%E1%80%B8%E1%80%B1%E1%80%80%E1%80%AC%E1%80%84%E1%80%B9%E1%80%B8-%E1%80%80%E1%80%BC%E1%80%94%E1%80%B9%E1%80%BB%E1%80%95%E1%80%B4%E1%80%90%E1%80%AC-%E1%80%95%E1%80%94%E1%80%B9%E1%80%B8%E1%80%91%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%9C%E1%80%AF%E1%80%95%E1%80%B9%E1%80%84%E1%80%94%E1%80%B9%E1%80%B8/100063698298275/","Page · Clothing (brand)","193 followers","188 likes"
"100078632341230","Khit Thit Naing gif shop | Facebook","https://www.facebook.com/people/Khit-Thit-Naing-gif-shop/100078632341230/","Page · Camera/photo","9 followers","8 likes"
"100083362363966","Burn Emperor | Facebook","https://www.facebook.com/people/Burn-Emperor/100083362363966/","Page · Gamer","11 followers","12 likes"
"100063698298275","Moe Kaung မိုဃၤးေကာင္း ကြန္ျပဴတာ ပန္းထိုးလုပ္ငန္း | Facebook","https://www.facebook.com/people/Moe-Kaung-%E1%80%99%E1%80%AD%E1%80%AF%E1%80%83%E1%81%A4%E1%80%B8%E1%80%B1%E1%80%80%E1%80%AC%E1%80%84%E1%80%B9%E1%80%B8-%E1%80%80%E1%80%BC%E1%80%94%E1%80%B9%E1%80%BB%E1%80%95%E1%80%B4%E1%80%90%E1%80%AC-%E1%80%95%E1%80%94%E1%80%B9%E1%80%B8%E1%80%91%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%9C%E1%80%AF%E1%80%95%E1%80%B9%E1%80%84%E1%80%94%E1%80%B9%E1%80%B8/100063698298275/","Page · Clothing (brand)","193 followers","188 likes"
"100063698298275","Moe Kaung မိုဃၤးေကာင္း ကြန္ျပဴတာ ပန္းထိုးလုပ္ငန္း | Facebook","https://www.facebook.com/people/Moe-Kaung-%E1%80%99%E1%80%AD%E1%80%AF%E1%80%83%E1%81%A4%E1%80%B8%E1%80%B1%E1%80%80%E1%80%AC%E1%80%84%E1%80%B9%E1%80%B8-%E1%80%80%E1%80%BC%E1%80%94%E1%80%B9%E1%80%BB%E1%80%95%E1%80%B4%E1%80%90%E1%80%AC-%E1%80%95%E1%80%94%E1%80%B9%E1%80%B8%E1%80%91%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%9C%E1%80%AF%E1%80%95%E1%80%B9%E1%80%84%E1%80%94%E1%80%B9%E1%80%B8/100063698298275/","Page · Clothing (brand)","193 followers","188 likes"
"100068472578217","Myint Myat Ko JOKER KING | Facebook","https://www.facebook.com/people/Myint-Myat-Ko-JOKER-KING/100068472578217/","Page · Product/service","83 followers","63 likes"
"100076219028025","USA products by Phyu Phyu | New York NY | Facebook","https://www.facebook.com/people/USA-products-by-Phyu-Phyu/100076219028025/","Page · Beauty, cosmetic & personal care","611 followers","563 likes"
